Title	Location	Company	Review	Summary
            Lead Data Scientist (w/m/d) Machine Learning		        Siemens AG		            Sie bringen langjährige einschlägige Projekterfahrung im Bereich Data Analytics mit Schwerpunkt Maschinellem Lernen bzw....
Data Scientist (m/f/x)		        insparx GmbH		            Multiple and extensive internal and external data sources; To analyze business data and develop Strategies, Monitoring and Reporting....
Data Scientist (f/m/x) - Frankfurt am Main		        COBI.Bike GmbH		            Your are comfortable working closely with both Developers and Data Scientists. As an interface between data science and development, you’ll be able to...
Data Scientist - Automotive (m/w/d)		        NorCom Information Technology GmbH & Co. KGaA		            Du berätst unsere Kunden aus dem Automobilbereich zum Einsatz von Big Data Technologien und revolutionierst ihre Daten-Welt....
            (Senior) Data Scientist / Data Mining Consultant mit Fokus A...		        metafinanz Informationssysteme GmbH		            (Senior) Data Scientist / Data Mining Consultant mit Fokus Advanced Analytics (w/m/d). Mindestens 2 Jahre Berufserfahrung in den Bereichen Data Science / Data...
            (Junior) Data Scientist (M/W/D)	München	        thaltegos		            (JUNIOR) DATA SCIENTIST (M/W/D). Praktische Erfahrung im Bereich Data Science,. Die thaltegos GmbH verbindet strategische Analysefähigkeit mit datengetriebener...
Data Scientist (m/w/d)	München	        finconomy AG		Data Scientist (m/w/d). Praktische Erfahrung mit Python ML und KI Ökosystem, ETL und Data Engineering sowie strukturierten und unstrukturierten Datenbanken....
Data Scientist / Machine Learning	München	        Acanthos Ventures GmbH		            Support developing and optimizing data warehouses. Leverage data to gain insights in terms of trends and user behaviour for different international clients....
Data Scientist (m/f/d) - Deep Learning Specialist	München	        E.ON		            Therefore, we're looking for an experienced data scientist, understanding to make data as a core value for todays and future business by delivering advanced...
Data Scientist (m/f/x)	München	        insparx GmbH		            Multiple and extensive internal and external data sources; To analyze business data and develop Strategies, Monitoring and Reporting....
            Battery Data Scientist (w/m/d)	Garching bei München	        TÜV SÜD Battery Testing		            - Aufbau von Lithium-Ionen-Batteriemodellen - Parametrierung und Prüfung entwickelter Batteriemodelle anhand von Messungen/Daten - Aufbereitung und...
            Graduate Data Scientist - Germany (Munich)	München	        Amazon Web Services Germany Gm		            Experience giving data presentations. Working with our Professional Services Data Science, Big Data and DevOps consultants to build and optimize machine...
Data Scientist - Automotive (m/w/d)	München	        NorCom Information Technology GmbH & Co. KGaA		            Du berätst unsere Kunden aus dem Automobilbereich zum Einsatz von Big Data Technologien und revolutionierst ihre Daten-Welt....
            Junior Data Scientist Machine Learning / Natural Language Pr...	München	        FINLYTICS		            Was dich im Rahmen deiner Aufgaben bei uns erwartet Du arbeitest dich in Problemstellungen aus dem Bereich FinTech ein und erarbeitest Lösungen auf Basis...
Data Scientist	München	        Trakken Web Services		            (Weiter-)Entwicklung von Data Science Angeboten im Digital Analytics Umfeld. Ansprechpartner bei Data Science Fragestellungen, sowohl intern als auch extern....
            Lead Data Scientist (m/w/d)		        Zühlke Engineering GmbH		            Lead Data Scientist (m/w/d). Machine Learning trifft auf Maschinendaten....
            Lead Data Scientist (w/m/d) Machine Learning		        Siemens AG		            Sie bringen langjährige einschlägige Projekterfahrung im Bereich Data Analytics mit Schwerpunkt Maschinellem Lernen bzw....
Data Scientist (m/f/x)		        insparx GmbH		            Multiple and extensive internal and external data sources; To analyze business data and develop Strategies, Monitoring and Reporting....
Data Scientist (f/m/x) - Frankfurt am Main		        COBI.Bike GmbH		            Your are comfortable working closely with both Developers and Data Scientists. As an interface between data science and development, you’ll be able to...
Data Scientist - Automotive (m/w/d)		        NorCom Information Technology GmbH & Co. KGaA		            Du berätst unsere Kunden aus dem Automobilbereich zum Einsatz von Big Data Technologien und revolutionierst ihre Daten-Welt....
            (Senior) Data Scientist / Data Mining Consultant mit Fokus A...		        metafinanz Informationssysteme GmbH		            (Senior) Data Scientist / Data Mining Consultant mit Fokus Advanced Analytics (w/m/d). Mindestens 2 Jahre Berufserfahrung in den Bereichen Data Science / Data...
            (Junior) Data Scientist (M/W/D)	München	        thaltegos		            (JUNIOR) DATA SCIENTIST (M/W/D). Praktische Erfahrung im Bereich Data Science,. Die thaltegos GmbH verbindet strategische Analysefähigkeit mit datengetriebener...
Data Scientist (m/w/d)	München	        finconomy AG		Data Scientist (m/w/d). Praktische Erfahrung mit Python ML und KI Ökosystem, ETL und Data Engineering sowie strukturierten und unstrukturierten Datenbanken....
Data Scientist / Machine Learning	München	        Acanthos Ventures GmbH		            Support developing and optimizing data warehouses. Leverage data to gain insights in terms of trends and user behaviour for different international clients....
Data Scientist (m/f/d) - Deep Learning Specialist	München	        E.ON		            Therefore, we're looking for an experienced data scientist, understanding to make data as a core value for todays and future business by delivering advanced...
Data Scientist (m/f/x)	München	        insparx GmbH		            Multiple and extensive internal and external data sources; To analyze business data and develop Strategies, Monitoring and Reporting....
            Battery Data Scientist (w/m/d)	Garching bei München	        TÜV SÜD Battery Testing		            - Aufbau von Lithium-Ionen-Batteriemodellen - Parametrierung und Prüfung entwickelter Batteriemodelle anhand von Messungen/Daten - Aufbereitung und...
            Graduate Data Scientist - Germany (Munich)	München	        Amazon Web Services Germany Gm		            Experience giving data presentations. Working with our Professional Services Data Science, Big Data and DevOps consultants to build and optimize machine...
Data Scientist - Automotive (m/w/d)	München	        NorCom Information Technology GmbH & Co. KGaA		            Du berätst unsere Kunden aus dem Automobilbereich zum Einsatz von Big Data Technologien und revolutionierst ihre Daten-Welt....
            Junior Data Scientist Machine Learning / Natural Language Pr...	München	        FINLYTICS		            Was dich im Rahmen deiner Aufgaben bei uns erwartet Du arbeitest dich in Problemstellungen aus dem Bereich FinTech ein und erarbeitest Lösungen auf Basis...
Data Scientist	München	        Trakken Web Services		            (Weiter-)Entwicklung von Data Science Angeboten im Digital Analytics Umfeld. Ansprechpartner bei Data Science Fragestellungen, sowohl intern als auch extern....
            Lead Data Scientist (m/w/d)		        Zühlke Engineering GmbH		            Lead Data Scientist (m/w/d). Machine Learning trifft auf Maschinendaten....
            Lead Data Scientist (w/m/d) Machine Learning		        Siemens AG		            Sie bringen langjährige einschlägige Projekterfahrung im Bereich Data Analytics mit Schwerpunkt Maschinellem Lernen bzw....
Data Scientist (m/f/x)		        insparx GmbH		            Multiple and extensive internal and external data sources; To analyze business data and develop Strategies, Monitoring and Reporting....
Data Scientist (f/m/x) - Frankfurt am Main		        COBI.Bike GmbH		            Your are comfortable working closely with both Developers and Data Scientists. As an interface between data science and development, you’ll be able to...
Data Scientist - Automotive (m/w/d)		        NorCom Information Technology GmbH & Co. KGaA		            Du berätst unsere Kunden aus dem Automobilbereich zum Einsatz von Big Data Technologien und revolutionierst ihre Daten-Welt....
            (Senior) Data Scientist / Data Mining Consultant mit Fokus A...		        metafinanz Informationssysteme GmbH		            (Senior) Data Scientist / Data Mining Consultant mit Fokus Advanced Analytics (w/m/d). Mindestens 2 Jahre Berufserfahrung in den Bereichen Data Science / Data...
            (Junior) Data Scientist (M/W/D)	München	        thaltegos		            (JUNIOR) DATA SCIENTIST (M/W/D). Praktische Erfahrung im Bereich Data Science,. Die thaltegos GmbH verbindet strategische Analysefähigkeit mit datengetriebener...
Data Scientist (m/w/d)	München	        finconomy AG		Data Scientist (m/w/d). Praktische Erfahrung mit Python ML und KI Ökosystem, ETL und Data Engineering sowie strukturierten und unstrukturierten Datenbanken....
Data Scientist / Machine Learning	München	        Acanthos Ventures GmbH		            Support developing and optimizing data warehouses. Leverage data to gain insights in terms of trends and user behaviour for different international clients....
Data Scientist (m/f/d) - Deep Learning Specialist	München	        E.ON		            Therefore, we're looking for an experienced data scientist, understanding to make data as a core value for todays and future business by delivering advanced...
Data Scientist (m/f/x)	München	        insparx GmbH		            Multiple and extensive internal and external data sources; To analyze business data and develop Strategies, Monitoring and Reporting....
            Battery Data Scientist (w/m/d)	Garching bei München	        TÜV SÜD Battery Testing		            - Aufbau von Lithium-Ionen-Batteriemodellen - Parametrierung und Prüfung entwickelter Batteriemodelle anhand von Messungen/Daten - Aufbereitung und...
            Graduate Data Scientist - Germany (Munich)	München	        Amazon Web Services Germany Gm		            Experience giving data presentations. Working with our Professional Services Data Science, Big Data and DevOps consultants to build and optimize machine...
Data Scientist - Automotive (m/w/d)	München	        NorCom Information Technology GmbH & Co. KGaA		            Du berätst unsere Kunden aus dem Automobilbereich zum Einsatz von Big Data Technologien und revolutionierst ihre Daten-Welt....
            Junior Data Scientist Machine Learning / Natural Language Pr...	München	        FINLYTICS		            Was dich im Rahmen deiner Aufgaben bei uns erwartet Du arbeitest dich in Problemstellungen aus dem Bereich FinTech ein und erarbeitest Lösungen auf Basis...
